Designator,Mid X,Mid Y,Rotation,Layer
C1,82.84,-90.9265,90.0,top
C10,80.596803,-88.442803,0.0,top
C11,80.596804,-89.433402,0.0,top
C12,80.5968,-87.4268,0.0,top
C13,87.3894,-59.3078,0.0,top
C14,89.2288,-59.3078,180.0,top
C15,81.3145,-85.7409,270.0,top
C16,86.8426,-85.7478,90.0,top
C17,84.2798,-67.0306,0.0,top
C2,83.7931,-90.9265,90.0,top
C3,84.7462,-90.9265,90.0,top
C4,85.6994,-90.9265,90.0,top
C5,82.2681,-92.8396,270.0,top
C6,86.0806,-92.8396,270.0,top
C7,83.2212,-92.8396,270.0,top
C8,85.1275,-92.8396,270.0,top
C9,84.1744,-92.8396,270.0,top
J1,84.3188,-50.125,180.0,top
J2,75.4288,-73.125,0.0,top
J3,93.2088,-73.125,0.0,top
J4,84.3188,-97.015,90.0,top
R1,86.0298,-57.0718,90.0,top
R2,83.4898,-57.148,90.0,top
R3,86.321301,-69.7718,270.0,top
R4,87.274401,-69.7718,270.0,top
R5,83.4116,-83.312,0.0,top
R6,80.4373,-67.0306,0.0,top
R7,82.3435,-67.0306,180.0,top
SW1,82.0756,-64.262,180.0,top
U1,84.3188,-77.125,90.0,top
U3,82.6998,-68.957,0.0,top
U4,80.965,-58.1429,270.0,top
Y1,84.1301,-85.7365,180.0,top
